西元年,月,日,星期,總運量
2017,05,01,一,1766625
2017,05,02,二,2080021
2017,05,03,三,2142978
2017,05,04,四,2152861
2017,05,05,五,2352448
2017,05,06,六,1987107
2017,05,07,日,1748511
2017,05,08,一,2055848
2017,05,09,二,2088439
2017,05,10,三,2116379
2017,05,11,四,2123612
2017,05,12,五,2337986
2017,05,13,六,1916565
2017,05,14,日,1599230
2017,05,15,一,2035593
2017,05,16,二,2091091
2017,05,17,三,2112900
2017,05,18,四,2118449
2017,05,19,五,2405959
2017,05,20,六,2092918
2017,05,21,日,1794732
2017,05,22,一,2056233
2017,05,23,二,2072407
2017,05,24,三,2096124
2017,05,25,四,2118569
2017,05,26,五,2283022
2017,05,27,六,1766044
2017,05,28,日,1704830
2017,05,29,一,1658125
2017,05,30,二,1358680
2017,05,31,三,2097111